# step h OmegaM OmegaL chi2
224 0.69643726 0.21941040 0.59280563 563.64122440
225 0.70417164 0.18915943 0.58908992 571.89959903
226 0.70031560 0.17294043 0.62504651 566.01376872
227 0.70072670 0.20052233 0.63523628 563.97301846
228 0.69620807 0.20001213 0.61915118 564.71321414
229 0.69806630 0.20209386 0.60182203 563.44183875
230 0.69714876 0.19428118 0.62665425 565.09979323
231 0.69980657 0.18497432 0.63243747 565.08424894
232 0.70050238 0.19645894 0.64539995 564.41063548
233 0.69739549 0.20107304 0.64232573 565.30974559
234 0.70272306 0.18433037 0.64242491 565.92271086
235 0.69767247 0.21173727 0.59748532 563.55580477
236 0.69542648 0.21913905 0.60577344 563.51428366
237 0.69136582 0.21402003 0.59087020 567.73775404
238 0.69228524 0.21596655 0.61282191 567.85939198
239 0.69997384 0.21805113 0.60219636 565.56106787
240 0.69743381 0.23474811 0.59711516 564.99826907
241 0.69640804 0.21957334 0.61512309 563.18098447
242 0.70141670 0.20854004 0.62962045 564.51246174
243 0.70090014 0.21871925 0.64346054 563.64899687
244 0.69676754 0.22456593 0.63223369 563.10108289
245 0.70222543 0.20253716 0.64510684 564.67357051
246 0.70291708 0.20428152 0.63998110 565.51347180
247 0.69966473 0.19786632 0.63757438 564.05239807
248 0.69712085 0.22337745 0.66414157 564.61148723
249 0.70355639 0.20266696 0.68223031 565.77031206
250 0.70149242 0.20754849 0.66999669 564.39644343
251 0.70146221 0.23861107 0.67764249 563.12610296
252 0.70270147 0.23059331 0.67921331 563.93002632
253 0.70485651 0.22298078 0.66528742 567.31402780
254 0.70241074 0.21158901 0.63818591 565.19550796
255 0.69964384 0.19646364 0.65246221 565.07285944
256 0.69703192 0.22525949 0.66347049 564.42627538
257 0.69968678 0.24485308 0.66294641 562.76344162
258 0.69842637 0.26031461 0.66245013 562.91574524
259 0.69609992 0.24121414 0.64175691 563.09964909
260 0.69779767 0.24877212 0.64936621 562.77525307
261 0.70553716 0.22709173 0.66680099 568.79325938
262 0.70141551 0.23965107 0.68256067 562.99191977
263 0.69800676 0.23056326 0.66925989 563.44693485
264 0.69827775 0.21345968 0.68600358 567.23097379
265 0.70097795 0.20518602 0.66657641 564.49912799
266 0.69608868 0.24137929 0.68625484 565.79957336
267 0.69698250 0.26210778 0.69482111 563.34271564
268 0.69757636 0.25847886 0.70650707 563.78634828
269 0.69489298 0.28064980 0.70049499 564.92733783
270 0.70297323 0.29755356 0.73206808 564.93814458
271 0.69718122 0.31102869 0.75525469 563.92092633
272 0.70082922 0.30347480 0.76796968 562.38785226
273 0.69463658 0.30409467 0.75974567 569.10120617
274 0.70108682 0.32831316 0.77947651 563.00321810
275 0.70470070 0.29978209 0.77877330 563.75749820
276 0.69593920 0.31041303 0.75684590 565.64596059
277 0.70045734 0.32861090 0.76708252 563.31062080
278 0.69997034 0.31980334 0.81437459 564.63030302
279 0.70476321 0.31370310 0.81719502 563.36513674
280 0.69862486 0.31529371 0.81748639 567.57245751
